x,y,validity,timestamp_us,image_x,image_y,participant_id,gender,age,task
952.5789795,722.7306519,Valid,6.21E+11,392.5789795,707.7306519,1,Female,24,Locate the Faces
955.9852905,693.1605835,Valid,6.21E+11,395.9852905,678.1605835,1,Female,24,Locate the Faces
956.276123,677.0255127,Valid,6.21E+11,396.276123,662.0255127,1,Female,24,Locate the Faces
960.3761597,665.7875977,Valid,6.21E+11,400.3761597,650.7875977,1,Female,24,Locate the Faces
964.6829224,660.3132935,Valid,6.21E+11,404.6829224,645.3132935,1,Female,24,Locate the Faces
972.1098022,661.222168,Valid,6.21E+11,412.1098022,646.222168,1,Female,24,Locate the Faces
978.5133057,662.3708496,Valid,6.21E+11,418.5133057,647.3708496,1,Female,24,Locate the Faces
984.2143555,663.4951172,Valid,6.21E+11,424.2143555,648.4951172,1,Female,24,Locate the Faces
989.6193848,663.3007202,Valid,6.21E+11,429.6193848,648.3007202,1,Female,24,Locate the Faces
993.4902344,663.1619873,Valid,6.21E+11,433.4902344,648.1619873,1,Female,24,Locate the Faces
995.2905884,662.9069214,Valid,6.21E+11,435.2905884,647.9069214,1,Female,24,Locate the Faces
998.3014526,663.4436035,Valid,6.21E+11,438.3014526,648.4436035,1,Female,24,Locate the Faces
999.1755371,664.7352905,Valid,6.21E+11,439.1755371,649.7352905,1,Female,24,Locate the Faces
997.7724609,616.4692383,Valid,6.21E+11,437.7724609,601.4692383,1,Female,24,Locate the Faces
997.4124756,540.2358398,Valid,6.21E+11,437.4124756,525.2358398,1,Female,24,Locate the Faces
997.5601807,482.4565125,Valid,6.21E+11,437.5601807,467.4565125,1,Female,24,Locate the Faces
999.0206909,447.7492065,Valid,6.21E+11,439.0206909,432.7492065,1,Female,24,Locate the Faces
1001.491333,423.5308533,Valid,6.21E+11,441.491333,408.5308533,1,Female,24,Locate the Faces
1003.60083,405.6402588,Valid,6.21E+11,443.6008301,390.6402588,1,Female,24,Locate the Faces
1002.966858,396.1476135,Valid,6.21E+11,442.9668579,381.1476135,1,Female,24,Locate the Faces
1004.253418,392.8527222,Valid,6.21E+11,444.253418,377.8527222,1,Female,24,Locate the Faces
1003.507568,394.1282959,Valid,6.21E+11,443.5075684,379.1282959,1,Female,24,Locate the Faces
1000.74176,407.1612549,Valid,6.21E+11,440.7417603,392.1612549,1,Female,24,Locate the Faces
998.6784058,413.3345032,Valid,6.21E+11,438.6784058,398.3345032,1,Female,24,Locate the Faces
997.9495239,416.296936,Valid,6.21E+11,437.9495239,401.296936,1,Female,24,Locate the Faces
997.1153564,418.5867615,Valid,6.21E+11,437.1153564,403.5867615,1,Female,24,Locate the Faces
996.2857666,422.8356934,Valid,6.21E+11,436.2857666,407.8356934,1,Female,24,Locate the Faces
994.5797119,429.0203552,Valid,6.21E+11,434.5797119,414.0203552,1,Female,24,Locate the Faces
993.7718506,434.6483459,Valid,6.21E+11,433.7718506,419.6483459,1,Female,24,Locate the Faces
990.9486084,439.7603455,Valid,6.21E+11,430.9486084,424.7603455,1,Female,24,Locate the Faces
989.2532959,444.3578796,Valid,6.21E+11,429.2532959,429.3578796,1,Female,24,Locate the Faces
989.5769043,449.6684875,Valid,6.21E+11,429.5769043,434.6684875,1,Female,24,Locate the Faces
964.2821655,471.6107483,Valid,6.21E+11,404.2821655,456.6107483,1,Female,24,Locate the Faces
934.3148804,495.7161865,Valid,6.21E+11,374.3148804,480.7161865,1,Female,24,Locate the Faces
915.1705322,513.6295166,Valid,6.21E+11,355.1705322,498.6295166,1,Female,24,Locate the Faces
898.1661987,527.4682007,Valid,6.21E+11,338.1661987,512.4682007,1,Female,24,Locate the Faces
884.6419067,536.8843384,Valid,6.21E+11,324.6419067,521.8843384,1,Female,24,Locate the Faces
875.0054321,551.3469238,Valid,6.21E+11,315.0054321,536.3469238,1,Female,24,Locate the Faces
868.2747803,558.1768799,Valid,6.21E+11,308.2747803,543.1768799,1,Female,24,Locate the Faces
863.0975342,576.3153687,Valid,6.21E+11,303.0975342,561.3153687,1,Female,24,Locate the Faces
860.3299561,599.5852051,Valid,6.21E+11,300.3299561,584.5852051,1,Female,24,Locate the Faces
860.517334,614.0907593,Valid,6.21E+11,300.517334,599.0907593,1,Female,24,Locate the Faces
857.0673218,621.3276978,Valid,6.21E+11,297.0673218,606.3276978,1,Female,24,Locate the Faces
856.0845337,628.2781982,Valid,6.21E+11,296.0845337,613.2781982,1,Female,24,Locate the Faces
853.5539551,633.4185181,Valid,6.21E+11,293.5539551,618.4185181,1,Female,24,Locate the Faces
853.8312988,634.5090942,Valid,6.21E+11,293.8312988,619.5090942,1,Female,24,Locate the Faces
856.5814819,635.0337524,Valid,6.21E+11,296.5814819,620.0337524,1,Female,24,Locate the Faces
857.3464966,635.796814,Valid,6.21E+11,297.3464966,620.796814,1,Female,24,Locate the Faces
856.6836548,625.5758057,Valid,6.21E+11,296.6836548,610.5758057,1,Female,24,Locate the Faces
856.6173096,609.8999634,Valid,6.21E+11,296.6173096,594.8999634,1,Female,24,Locate the Faces
857.5994263,590.7062988,Valid,6.21E+11,297.5994263,575.7062988,1,Female,24,Locate the Faces
861.5870972,572.4547119,Valid,6.21E+11,301.5870972,557.4547119,1,Female,24,Locate the Faces
861.9613037,560.7731934,Valid,6.21E+11,301.9613037,545.7731934,1,Female,24,Locate the Faces
863.7261353,552.6277466,Valid,6.21E+11,303.7261353,537.6277466,1,Female,24,Locate the Faces
863.5507202,545.3654785,Valid,6.21E+11,303.5507202,530.3654785,1,Female,24,Locate the Faces
864.9457397,531.2483521,Valid,6.21E+11,304.9457397,516.2483521,1,Female,24,Locate the Faces
863.772644,520.4096069,Valid,6.21E+11,303.772644,505.4096069,1,Female,24,Locate the Faces
865.491394,511.1885071,Valid,6.21E+11,305.491394,496.1885071,1,Female,24,Locate the Faces
868.2893066,503.1057739,Valid,6.21E+11,308.2893066,488.1057739,1,Female,24,Locate the Faces
869.0927124,501.9047241,Valid,6.21E+11,309.0927124,486.9047241,1,Female,24,Locate the Faces
867.899231,504.1561279,Valid,6.21E+11,307.899231,489.1561279,1,Female,24,Locate the Faces
868.8362427,502.1422424,Valid,6.21E+11,308.8362427,487.1422424,1,Female,24,Locate the Faces
870.3380737,497.6820068,Valid,6.21E+11,310.3380737,482.6820068,1,Female,24,Locate the Faces
872.9550781,491.6384277,Valid,6.21E+11,312.9550781,476.6384277,1,Female,24,Locate the Faces
871.3745728,487.2963867,Valid,6.21E+11,311.3745728,472.2963867,1,Female,24,Locate the Faces
871.4705811,484.7146606,Valid,6.21E+11,311.4705811,469.7146606,1,Female,24,Locate the Faces
869.3886108,485.2175903,Valid,6.21E+11,309.3886108,470.2175903,1,Female,24,Locate the Faces
869.5058594,484.6256409,Valid,6.21E+11,309.5058594,469.6256409,1,Female,24,Locate the Faces
868.1350708,483.0504761,Valid,6.21E+11,308.1350708,468.0504761,1,Female,24,Locate the Faces
868.090271,481.5469971,Valid,6.21E+11,308.090271,466.5469971,1,Female,24,Locate the Faces
866.7174683,479.9667664,Valid,6.21E+11,306.7174683,464.9667664,1,Female,24,Locate the Faces
865.3469849,479.4396057,Valid,6.21E+11,305.3469849,464.4396057,1,Female,24,Locate the Faces
863.9918213,478.9785767,Valid,6.21E+11,303.9918213,463.9785767,1,Female,24,Locate the Faces
864.0545654,478.6824036,Valid,6.21E+11,304.0545654,463.6824036,1,Female,24,Locate the Faces
865.2991943,478.0455933,Valid,6.21E+11,305.2991943,463.0455933,1,Female,24,Locate the Faces
867.2938232,478.0299683,Valid,6.21E+11,307.2938232,463.0299683,1,Female,24,Locate the Faces
868.6624756,477.467926,Valid,6.21E+11,308.6624756,462.467926,1,Female,24,Locate the Faces
870.2932129,477.0037842,Valid,6.21E+11,310.2932129,462.0037842,1,Female,24,Locate the Faces
872.1486816,476.9995117,Valid,6.21E+11,312.1486816,461.9995117,1,Female,24,Locate the Faces
890.131897,478.9669189,Valid,6.21E+11,330.131897,463.9669189,1,Female,24,Locate the Faces
915.3897095,480.9959412,Valid,6.21E+11,355.3897095,465.9959412,1,Female,24,Locate the Faces
941.7823486,480.2019348,Valid,6.21E+11,381.7823486,465.2019348,1,Female,24,Locate the Faces
966.336792,481.7115784,Valid,6.21E+11,406.336792,466.7115784,1,Female,24,Locate the Faces
986.6181641,479.1348572,Valid,6.21E+11,426.6181641,464.1348572,1,Female,24,Locate the Faces
998.0205688,481.1036682,Valid,6.21E+11,438.0205688,466.1036682,1,Female,24,Locate the Faces
1006.082153,479.9144897,Valid,6.21E+11,446.0821533,464.9144897,1,Female,24,Locate the Faces
1010.765442,482.5751038,Valid,6.21E+11,450.7654419,467.5751038,1,Female,24,Locate the Faces
1011.885315,484.4547424,Valid,6.21E+11,451.8853149,469.4547424,1,Female,24,Locate the Faces
1013.403076,486.6213074,Valid,6.21E+11,453.4030762,471.6213074,1,Female,24,Locate the Faces
1018.424622,524.4332886,Valid,6.21E+11,458.4246216,509.4332886,1,Female,24,Locate the Faces
1020.526184,587.8233032,Valid,6.21E+11,460.5261841,572.8233032,1,Female,24,Locate the Faces
1023.606506,642.4866333,Valid,6.21E+11,463.6065063,627.4866333,1,Female,24,Locate the Faces
1024.657227,675.5108643,Valid,6.21E+11,464.6572266,660.5108643,1,Female,24,Locate the Faces
1023.891479,701.6841431,Valid,6.21E+11,463.8914795,686.6841431,1,Female,24,Locate the Faces
1021.169922,711.5673218,Valid,6.21E+11,461.1699219,696.5673218,1,Female,24,Locate the Faces
1021.961548,717.2577515,Valid,6.21E+11,461.9615479,702.2577515,1,Female,24,Locate the Faces
1021.18335,721.1647339,Valid,6.21E+11,461.1833496,706.1647339,1,Female,24,Locate the Faces
1021.152222,727.0530396,Valid,6.21E+11,461.1522217,712.0530396,1,Female,24,Locate the Faces
1025.416016,729.824585,Valid,6.21E+11,465.4160156,714.824585,1,Female,24,Locate the Faces
1028.648926,729.0267334,Valid,6.21E+11,468.6489258,714.0267334,1,Female,24,Locate the Faces
1030.412354,728.3668823,Valid,6.21E+11,470.4123535,713.3668823,1,Female,24,Locate the Faces
1031.606567,728.6002808,Valid,6.21E+11,471.6065674,713.6002808,1,Female,24,Locate the Faces
1031.729614,728.6845093,Valid,6.21E+11,471.7296143,713.6845093,1,Female,24,Locate the Faces
1031.285156,729.192749,Valid,6.21E+11,471.2851563,714.192749,1,Female,24,Locate the Faces
1031.009033,731.2435303,Valid,6.21E+11,471.0090332,716.2435303,1,Female,24,Locate the Faces
1013.096558,726.8190308,Valid,6.21E+11,453.0965576,711.8190308,1,Female,24,Locate the Faces
975.5875244,721.8468018,Valid,6.21E+11,415.5875244,706.8468018,1,Female,24,Locate the Faces
933.875061,713.7091675,Valid,6.21E+11,373.875061,698.7091675,1,Female,24,Locate the Faces
897.6463013,706.9644165,Valid,6.21E+11,337.6463013,691.9644165,1,Female,24,Locate the Faces
870.3986206,696.9944458,Valid,6.21E+11,310.3986206,681.9944458,1,Female,24,Locate the Faces
849.0216064,690.5476074,Valid,6.21E+11,289.0216064,675.5476074,1,Female,24,Locate the Faces
836.8195801,689.4342041,Valid,6.21E+11,276.8195801,674.4342041,1,Female,24,Locate the Faces
828.895752,689.4597778,Valid,6.21E+11,268.895752,674.4597778,1,Female,24,Locate the Faces
822.3755493,691.9220581,Valid,6.21E+11,262.3755493,676.9220581,1,Female,24,Locate the Faces
817.0715332,693.4655151,Valid,6.21E+11,257.0715332,678.4655151,1,Female,24,Locate the Faces
814.5794678,694.124939,Valid,6.21E+11,254.5794678,679.124939,1,Female,24,Locate the Faces
813.1750488,694.0943604,Valid,6.21E+11,253.1750488,679.0943604,1,Female,24,Locate the Faces
811.8898926,693.4637451,Valid,6.21E+11,251.8898926,678.4637451,1,Female,24,Locate the Faces
811.6984253,694.2312012,Valid,6.21E+11,251.6984253,679.2312012,1,Female,24,Locate the Faces
811.1799927,694.5684814,Valid,6.21E+11,251.1799927,679.5684814,1,Female,24,Locate the Faces
